latency,area,power,energy,DSE index,layers,"HW (tiles, bw)",restraint
414731026.11529714,49431503426.6603,20780.41366263516,4473187932.48788,0,71,24 64,pass
79577169.27080467,2452153315.1574016,1036.031203095091,1124408232.2197278,1,10,6 48,pass
80468169.27080518,2452153315.1574016,1036.031203095091,1124408232.2197278,2,10,6 44,pass
81537369.27080455,2452153315.1574016,1036.031203095091,1124408232.2197278,3,10,6 40,pass
82844169.27080467,2452153315.1574016,1036.031203095091,1124408232.2197278,4,10,6 36,pass
84477669.27080467,2452153315.1574016,1036.031203095091,1124408232.2197278,5,10,6 32,pass
86577883.55651858,2452153315.1574016,1036.031203095091,1124408232.2197278,6,10,6 28,pass
89378169.27080467,2452153315.1574016,1036.031203095091,1124408232.2197278,7,10,6 24,pass
93298569.2708044,2452153315.1574016,1036.031203095091,1124408232.2197278,8,10,6 20,pass
99179169.27080467,2452153315.1574016,1036.031203095091,1124408232.2197278,9,10,6 16,pass
108980169.27080467,2452153315.1574016,1036.031203095091,1124408232.2197278,10,10,6 12,pass
128582169.27080467,2452153315.1574016,1036.031203095091,1124408232.2197278,11,10,6 8,pass
65738140.728579074,3346682548.592224,1381.9899486039983,493254077.9636169,12,6,7 48,pass
66031840.72857921,3346682548.592224,1381.9899486039983,493254077.9636169,13,6,7 44,pass
66384280.72857891,3346682548.592224,1381.9899486039983,493254077.9636169,14,6,7 40,pass
66815040.728579074,3346682548.592224,1381.9899486039983,493254077.9636169,15,6,7 36,pass
67353490.72857907,3346682548.592224,1381.9899486039983,493254077.9636169,16,6,7 32,pass
68045783.5857217,3346682548.592224,1381.9899486039983,493254077.9636169,17,6,7 28,pass
68968840.72857907,3346682548.592224,1381.9899486039983,493254077.9636169,18,6,7 24,pass
70261120.72857873,3346682548.592224,1381.9899486039983,493254077.9636169,19,6,7 20,pass
72199540.72857907,3346682548.592224,1381.9899486039983,493254077.9636169,20,6,7 16,pass
75430240.72857907,3346682548.592224,1381.9899486039983,493254077.9636169,21,6,7 12,pass
81891640.72857907,3346682548.592224,1381.9899486039983,493254077.9636169,22,6,7 8,pass
128181398.210348,4439996056.123673,1821.1948132378816,1188653181.7580156,23,11,8 48,pass
128191298.210348,4439996056.123673,1821.1948132378816,1188653181.7580156,24,11,8 44,pass
128203178.21034804,4439996056.123673,1821.1948132378816,1188653181.7580156,25,11,8 40,pass
128217698.210348,4439996056.123673,1821.1948132378816,1188653181.7580156,26,11,8 36,pass
128235848.210348,4439996056.123673,1821.1948132378816,1188653181.7580156,27,11,8 32,pass
128259183.9246337,4439996056.123673,1821.1948132378816,1188653181.7580156,28,11,8 28,pass
128290298.210348,4439996056.123673,1821.1948132378816,1188653181.7580156,29,11,8 24,pass
128333858.21034804,4439996056.123673,1821.1948132378816,1188653181.7580156,30,11,8 20,pass
128399198.210348,4439996056.123673,1821.1948132378816,1188653181.7580156,31,11,8 16,pass
128508098.210348,4439996056.123673,1821.1948132378816,1188653181.7580156,32,11,8 12,pass
128725898.210348,4439996056.123673,1821.1948132378816,1188653181.7580156,33,11,8 8,pass
108814565.58453554,5500178851.305685,2323.889568336826,1726666253.2394447,34,10,9 48,pass
108814565.58453554,5500178851.305685,2323.889568336826,1726666253.2394447,35,10,9 44,pass
108814565.58453554,5500178851.305685,2323.889568336826,1726666253.2394447,36,10,9 40,pass
108814565.58453554,5500178851.305685,2323.889568336826,1726666253.2394447,37,10,9 36,pass
108814565.58453554,5500178851.305685,2323.889568336826,1726666253.2394447,38,10,9 32,pass
108814565.58453554,5500178851.305685,2323.889568336826,1726666253.2394447,39,10,9 28,pass
108814565.58453554,5500178851.305685,2323.889568336826,1726666253.2394447,40,10,9 24,pass
108814565.58453554,5500178851.305685,2323.889568336826,1726666253.2394447,41,10,9 20,pass
108814565.58453554,5500178851.305685,2323.889568336826,1726666253.2394447,42,10,9 16,pass
108814565.58453554,5500178851.305685,2323.889568336826,1726666253.2394447,43,10,9 12,pass
108814565.58453554,5500178851.305685,2323.889568336826,1726666253.2394447,44,10,9 8,pass
75406940.13645318,6759145920.584324,2823.831379255071,1080582738.8101628,45,9,10 48,pass
75416840.13645317,6759145920.584324,2823.831379255071,1080582738.8101628,46,9,10 44,pass
75428720.13645321,6759145920.584324,2823.831379255071,1080582738.8101628,47,9,10 40,pass
75443240.13645318,6759145920.584324,2823.831379255071,1080582738.8101628,48,9,10 36,pass
