DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA EDP,RRAM EDP,DLA latency,RRAM latency,DLA energy,RRAM energy,DLA area,RRAM area,restraint
1,256 16,6 48,70,0,1.6226798859905935e+19,0.0,25355374080,0,639974737,0,6459620000000,0,fail
2,256 20,6 44,70,0,1.6226798859905935e+19,0.0,25355374080,0,639974737,0,8074520000000,0,fail
3,256 24,6 40,70,0,1.6226798859905935e+19,0.0,25355374080,0,639974737,0,9689420000000,0,fail
4,256 28,6 36,70,0,1.6226798859905935e+19,0.0,25355374080,0,639974737,0,11304300000000,0,fail
5,256 32,6 32,70,0,1.6226798859905935e+19,0.0,25355374080,0,639974737,0,12919200000000,0,fail
6,256 36,6 28,70,0,1.6226798859905935e+19,0.0,25355374080,0,639974737,0,14534100000000,0,fail
7,256 40,6 24,70,0,1.6226798859905935e+19,0.0,25355374080,0,639974737,0,16149000000000,0,fail
8,256 44,6 20,70,0,1.6226798859905935e+19,0.0,25355374080,0,639974737,0,17763900000000,0,fail
9,256 48,6 16,70,0,1.6226798859905935e+19,0.0,25355374080,0,639974737,0,19378800000000,0,fail
10,256 16,7 48,69,1,1.278987657832418e+19,66975042573758.445,21957987840,470446,582470337,142364934,6459620000000,2451672713,pass
11,256 20,7 44,69,1,1.278987657832418e+19,66975042573758.445,21957987840,470446,582470337,142364934,8074520000000,2451672713,pass
12,256 24,7 40,69,1,1.278987657832418e+19,66975042573758.445,21957987840,470446,582470337,142364934,9689420000000,2451672713,pass
13,256 28,7 36,69,1,1.278987657832418e+19,66975042573758.445,21957987840,470446,582470337,142364934,11304300000000,2451672713,pass
14,256 32,7 32,69,1,1.278987657832418e+19,66975042573758.445,21957987840,470446,582470337,142364934,12919200000000,2451672713,pass
15,256 36,7 28,69,1,1.278987657832418e+19,66975042573758.445,21957987840,470446,582470337,142364934,14534100000000,2451672713,pass
16,256 40,7 24,69,1,1.278987657832418e+19,66975042573758.445,21957987840,470446,582470337,142364934,16149000000000,2451672713,pass
17,256 44,7 20,69,1,1.278987657832418e+19,66975042573758.445,21957987840,470446,582470337,142364934,17763900000000,2451672713,pass
18,256 48,7 16,69,1,1.278987657832418e+19,66975042573758.445,21957987840,470446,582470337,142364934,19378800000000,2451672713,pass
19,256 16,8 48,69,1,1.278987657832418e+19,66975042573758.445,21957987840,470446,582470337,142364934,6459620000000,2451672713,pass
